hour,day_of_week,month,is_weekend,is_peak,speed,SRI,congestion_level,capacity,demand_capacity_ratio,speed_congestion_ratio,utilization_score,route_avg_speed,route_avg_demand,route_avg_congestion,passenger_demand,load_factor,utilization_encoded,utilization_status
6,0,12,1,1,-0.6153352607210463,0.5718730148989006,0.6618664886899244,-0.2980808857712005,0.694830059269951,0.8344765603340298,0.9129986542916604,-0.9817136030810847,-0.776039792643288,-0.47036614629356377,0.07554755404784576,0.6785152393888436,2,Overloaded
19,1,4,0,0,-0.7032292730007199,-0.8186131516133304,0.5053315601287494,-0.7122763980436615,0.7677420332323837,0.11514953212259571,0.7457685236768361,0.9280257942166057,-0.5985243668479359,-0.6584145923760705,-0.11645545165200522,0.1636439233744348,1,Optimal
14,5,12,0,1,-0.41383891081712476,0.16307311853992768,0.7345464394183854,-0.5275790087052863,0.9423852489086055,0.5765676513192772,-0.14581311820171794,0.18285523308833884,0.8922466044983366,0.6335351782527692,0.6910961969470675,0.8270936983925712,2,Overloaded
10,6,2,0,0,-0.9357770754443573,-0.24816961362938383,0.31146211490481734,0.36726869868861,-0.7591226681287666,-0.09045653360765948,-0.4123651564418451,0.18261867281760047,-0.2778492979406806,-0.29180268136295107,-0.06424469370117142,-0.34848519181934123,0,Underutilized
7,1,1,1,1,0.4868457961738395,-0.7216816726558057,0.7666266069457333,-0.04366883549432332,-0.4168516110721947,-0.019638447149935567,-0.7518627312905273,-0.8026998065442239,0.6785748667740583,-0.9217081889229617,0.531185359762821,0.298858071410187,1,Optimal
20,3,3,0,0,-0.48256879562332244,-0.5945808833919524,-0.8219166679093575,0.08163496159231731,0.3708113591238973,0.09354437958612971,-0.18474404674969103,0.21886130933046677,-0.6706858449400817,0.7153625737510789,0.15848946615276333,0.31686489905228277,1,Optimal
6,4,11,1,0,-0.751523206726801,0.5623209474494688,0.3591231553709917,-0.3540031551781728,0.7104586990406629,0.3402740716351109,-0.5466353195513136,0.05737502902504099,0.3602901868312467,0.4690795184100838,0.29778768210785267,0.36064522749468675,1,Optimal
18,2,2,1,0,0.3982588319268705,-0.6770217894204544,-0.8224098230255563,0.6734043363671822,0.5026083506755192,0.3398347780352091,-0.9665881892455264,0.0828525522677106,0.2544954237326209,0.4424603255741695,0.40230716471047473,0.4922852628679031,1,Optimal
22,2,1,0,1,0.6858560250865757,-0.37516278555656135,0.4978152865870291,0.9989101591988416,-0.08881580083635199,0.5707558478484762,-0.7235715841854169,-0.6171389405294154,0.4709540540662265,0.3032511034737293,0.6457609566617228,0.37107020240333355,1,Optimal
10,3,1,1,1,-0.9602488082764431,-0.43025332347383705,0.2568877402658798,-0.3755877834109129,0.4519547977325098,0.2338879692225153,-0.09397697649144798,0.08628482288407424,-0.4164345047309592,-0.17201574673267217,0.12154219315674417,0.40655986693046636,1,Optimal
